reaction_id	min_flux	max_flux
B_caecimuris_I48_TP_cpd11640_B_caecimuris_I48_e0	-33.333333	220.091588
B_caecimuris_I48_TP_cpd00531_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd01399_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00254_B_caecimuris_I48_e0	-0.002205	-0.001984
B_caecimuris_I48_TP_cpd00794_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00305_B_caecimuris_I48_e0	-0.001193	-0.001074
B_caecimuris_I48_TP_cpd00076_B_caecimuris_I48_e0	-1.000000	0.000000
B_caecimuris_I48_TP_cpd00082_B_caecimuris_I48_e0	-0.333333	69.500000
B_caecimuris_I48_TP_cpd04097_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00185_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00010_B_caecimuris_I48_e0	0.000000	0.008609
B_caecimuris_I48_TP_cpd15494_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd11976_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00832_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00100_B_caecimuris_I48_e0	0.000000	97.760227
B_caecimuris_I48_TP_cpd00306_B_caecimuris_I48_e0	-0.033333	0.000000
B_caecimuris_I48_TP_cpd00314_B_caecimuris_I48_e0	-0.033333	64.971030
B_caecimuris_I48_TP_cpd00158_B_caecimuris_I48_e0	-33.333333	0.000000
B_caecimuris_I48_TP_cpd11451_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd11606_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd17026_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd17027_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd02733_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd01354_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd03808_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00001_B_caecimuris_I48_e0	-33.333333	140.406603
B_caecimuris_I48_TP_cpd11842_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00122_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd21520_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd02992_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd90017_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd90003_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd90008_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd90006_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd90005_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd90007_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd90004_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00526_B_caecimuris_I48_e0	0.000000	0.666667
B_caecimuris_I48_TP_cpd02829_B_caecimuris_I48_e0	0.000000	0.666667
B_caecimuris_I48_TP_cpd23431_B_caecimuris_I48_e0	0.000000	0.666667
B_caecimuris_I48_TP_cpd01663_B_caecimuris_I48_e0	-0.333333	0.666667
B_caecimuris_I48_TP_cpd35610_B_caecimuris_I48_e0	0.000000	1.000000
B_caecimuris_I48_TP_cpd11746_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd01376_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd90020_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd90021_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd90022_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00011_B_caecimuris_I48_e0	-33.333333	203.145910
B_caecimuris_I48_TP_cpd00007_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd01981_B_caecimuris_I48_e0	0.001074	0.001193
B_caecimuris_I48_TP_cpd00073_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd01861_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00453_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00071_B_caecimuris_I48_e0	0.000000	122.540955
B_caecimuris_I48_TP_cpd00150_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd08021_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00450_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00363_B_caecimuris_I48_e0	-0.033333	120.157777
B_caecimuris_I48_TP_cpd00055_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00448_B_caecimuris_I48_e0	0.000000	110.140380
B_caecimuris_I48_TP_cpd00025_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00239_B_caecimuris_I48_e0	0.000000	0.008609
B_caecimuris_I48_TP_cpd00359_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00659_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00418_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00371_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00811_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd01024_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00204_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00528_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd11632_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd03662_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00178_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd01618_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00211_B_caecimuris_I48_e0	0.000000	91.021575
B_caecimuris_I48_TP_cpd00220_B_caecimuris_I48_e0	-0.002386	3.533844
B_caecimuris_I48_TP_cpd00644_B_caecimuris_I48_e0	-0.010757	10.180948
B_caecimuris_I48_TP_cpd00087_B_caecimuris_I48_e0	-0.003579	-0.003221
B_caecimuris_I48_TP_cpd00588_B_caecimuris_I48_e0	-0.033333	64.971030
B_caecimuris_I48_TP_cpd00035_B_caecimuris_I48_e0	-1.000000	8.292376
B_caecimuris_I48_TP_cpd00033_B_caecimuris_I48_e0	-1.000000	8.292376
B_caecimuris_I48_TP_cpd00300_B_caecimuris_I48_e0	-1.333333	2.202658
B_caecimuris_I48_TP_cpd00322_B_caecimuris_I48_e0	-0.108525	0.000000
B_caecimuris_I48_TP_cpd00107_B_caecimuris_I48_e0	-0.154437	0.000000
