reaction_id	flux
B_caecimuris_I48_rxn00295_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00299_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00300_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00301_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00302_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00303_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00304_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00313_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00337_B_caecimuris_I48_c0	0.401551
B_caecimuris_I48_rxn00338_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00340_B_caecimuris_I48_c0	0.251788
B_caecimuris_I48_rxn00342_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00346_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00358_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00359_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00361_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00363_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00364_B_caecimuris_I48_c0	0.358640
B_caecimuris_I48_rxn00365_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00368_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00369_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00379_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00391_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00405_B_caecimuris_I48_c0	0.313102
B_caecimuris_I48_rxn00408_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00409_B_caecimuris_I48_c0	-30.154943
B_caecimuris_I48_rxn00410_B_caecimuris_I48_c0	0.167037
B_caecimuris_I48_rxn00411_B_caecimuris_I48_c0	-30.513583
B_caecimuris_I48_rxn00412_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00414_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00416_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00420_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00423_B_caecimuris_I48_c0	0.008685
B_caecimuris_I48_rxn00426_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00436_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00442_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00453_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00456_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00459_B_caecimuris_I48_c0	57.159683
B_caecimuris_I48_rxn00460_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00461_B_caecimuris_I48_c0	0.015184
B_caecimuris_I48_rxn00463_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00469_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00474_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00483_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00493_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00500_B_caecimuris_I48_c0	-53.876622
B_caecimuris_I48_rxn00505_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00507_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00510_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00512_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00513_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00514_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00515_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00517_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00527_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00533_B_caecimuris_I48_c0	1.539390
B_caecimuris_I48_rxn00545_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00547_B_caecimuris_I48_c0	6.419471
B_caecimuris_I48_rxn00549_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00551_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00552_B_caecimuris_I48_c0	0.605214
B_caecimuris_I48_rxn00554_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00555_B_caecimuris_I48_c0	0.665949
B_caecimuris_I48_rxn00556_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00557_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00558_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00566_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00575_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00602_B_caecimuris_I48_c0	-0.021714
B_caecimuris_I48_rxn00604_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00638_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00641_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00642_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00647_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00649_B_caecimuris_I48_c0	0.008685
B_caecimuris_I48_rxn00650_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00654_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00669_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00670_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00672_B_caecimuris_I48_c0	0.021714
B_caecimuris_I48_rxn00674_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00675_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00678_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00684_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00686_B_caecimuris_I48_c0	-0.088182
B_caecimuris_I48_rxn00690_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00691_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00692_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00693_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00701_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00704_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00707_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00708_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00709_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00710_B_caecimuris_I48_c0	1.063565
B_caecimuris_I48_rxn00711_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00712_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00713_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00715_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00720_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00723_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00735_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00736_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00742_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00743_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00744_B_caecimuris_I48_c0	23.216965
B_caecimuris_I48_rxn00747_B_caecimuris_I48_c0	-51.901450
B_caecimuris_I48_rxn00770_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00772_B_caecimuris_I48_c0	0.008685
B_caecimuris_I48_rxn00777_B_caecimuris_I48_c0	0.494424
B_caecimuris_I48_rxn00778_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00781_B_caecimuris_I48_c0	57.159683
B_caecimuris_I48_rxn00782_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00783_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00784_B_caecimuris_I48_c0	0.658232
B_caecimuris_I48_rxn00785_B_caecimuris_I48_c0	0.550816
B_caecimuris_I48_rxn00786_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00789_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00791_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00797_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00799_B_caecimuris_I48_c0	-0.213585
B_caecimuris_I48_rxn00800_B_caecimuris_I48_c0	0.235298
B_caecimuris_I48_rxn00802_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00806_B_caecimuris_I48_c0	-0.470590
B_caecimuris_I48_rxn00808_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00816_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00817_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00818_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00819_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00830_B_caecimuris_I48_c0	0.015184
B_caecimuris_I48_rxn00831_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00832_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00834_B_caecimuris_I48_c0	-0.235298
B_caecimuris_I48_rxn00836_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00838_B_caecimuris_I48_c0	0.235298
B_caecimuris_I48_rxn00839_B_caecimuris_I48_c0	0.027160
B_caecimuris_I48_rxn00840_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00851_B_caecimuris_I48_c0	0.015184
B_caecimuris_I48_rxn00853_B_caecimuris_I48_c0	0.313102
B_caecimuris_I48_rxn00856_B_caecimuris_I48_c0	0.304417
B_caecimuris_I48_rxn00859_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00863_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00865_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00873_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00875_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00890_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00892_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00897_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00898_B_caecimuris_I48_c0	1.004181
B_caecimuris_I48_rxn00899_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00902_B_caecimuris_I48_c0	-0.562178
B_caecimuris_I48_rxn00903_B_caecimuris_I48_c0	-0.442003
B_caecimuris_I48_rxn00905_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00907_B_caecimuris_I48_c0	0.004343
B_caecimuris_I48_rxn00908_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00912_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00913_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00915_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00916_B_caecimuris_I48_c0	0.251823
B_caecimuris_I48_rxn00917_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00938_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00943_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00947_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00948_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00949_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00950_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00952_B_caecimuris_I48_c0	0.386368
B_caecimuris_I48_rxn00973_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00974_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00975_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00977_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00986_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00989_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00990_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00993_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00997_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn00998_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn01011_B_caecimuris_I48_c0	0.000000
