reaction_id	min_flux	max_flux
B_caecimuris_I48_TP_cpd00009_B_caecimuris_I48_e0	-6.000000	-0.996325
B_caecimuris_I48_TP_cpd00030_B_caecimuris_I48_e0	-0.008026	-0.007224
B_caecimuris_I48_TP_cpd00034_B_caecimuris_I48_e0	-0.008026	-0.007224
B_caecimuris_I48_TP_cpd00048_B_caecimuris_I48_e0	-0.008026	-0.007224
B_caecimuris_I48_TP_cpd00118_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00149_B_caecimuris_I48_e0	-0.008026	-0.007224
B_caecimuris_I48_TP_cpd00179_B_caecimuris_I48_e0	-0.100000	0.000000
B_caecimuris_I48_TP_cpd00224_B_caecimuris_I48_e0	0.000000	0.100000
B_caecimuris_I48_TP_cpd00244_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00264_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00268_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd10516_B_caecimuris_I48_e0	-0.100000	-0.007224
B_caecimuris_I48_TP_cpd00067_B_caecimuris_I48_e0	-36.761983	749.444982
B_caecimuris_I48_TP_cpd00092_B_caecimuris_I48_e0	0.000000	13.487993
B_caecimuris_I48_TP_cpd00367_B_caecimuris_I48_e0	0.000000	0.358640
B_caecimuris_I48_TP_cpd00184_B_caecimuris_I48_e0	0.000000	13.487993
B_caecimuris_I48_TP_cpd00311_B_caecimuris_I48_e0	0.000000	8.244470
B_caecimuris_I48_TP_cpd00130_B_caecimuris_I48_e0	0.000000	300.078733
B_caecimuris_I48_TP_cpd00971_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00137_B_caecimuris_I48_e0	0.000000	216.086583
B_caecimuris_I48_TP_cpd00041_B_caecimuris_I48_e0	-4.000000	22.975987
B_caecimuris_I48_TP_cpd00027_B_caecimuris_I48_e0	-2.000000	0.000000
B_caecimuris_I48_TP_cpd00084_B_caecimuris_I48_e0	-0.100000	-0.090000
B_caecimuris_I48_TP_cpd00023_B_caecimuris_I48_e0	-9.000000	17.975987
B_caecimuris_I48_TP_cpd00119_B_caecimuris_I48_e0	-0.098956	8.902935
B_caecimuris_I48_TP_cpd00051_B_caecimuris_I48_e0	-2.000000	5.172526
B_caecimuris_I48_TP_cpd00039_B_caecimuris_I48_e0	-0.358440	13.165398
B_caecimuris_I48_TP_cpd00246_B_caecimuris_I48_e0	0.000000	10.305587
B_caecimuris_I48_TP_cpd00182_B_caecimuris_I48_e0	0.000000	8.244470
B_caecimuris_I48_TP_cpd00013_B_caecimuris_I48_e0	0.000000	26.975987
B_caecimuris_I48_TP_cpd00232_B_caecimuris_I48_e0	0.000000	26.975987
B_caecimuris_I48_TP_cpd00029_B_caecimuris_I48_e0	-1.000000	690.469331
B_caecimuris_I48_TP_cpd04098_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00132_B_caecimuris_I48_e0	0.000000	13.487993
B_caecimuris_I48_TP_cpd00063_B_caecimuris_I48_e0	-0.008026	-0.007224
B_caecimuris_I48_TP_cpd01012_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00058_B_caecimuris_I48_e0	-0.008026	-0.007224
B_caecimuris_I48_TP_cpd10515_B_caecimuris_I48_e0	-0.100000	0.077736
B_caecimuris_I48_TP_cpd00047_B_caecimuris_I48_e0	0.000000	630.442329
B_caecimuris_I48_TP_cpd00106_B_caecimuris_I48_e0	0.000000	345.528810
B_caecimuris_I48_TP_cpd00108_B_caecimuris_I48_e0	-0.100000	148.199691
B_caecimuris_I48_TP_cpd00276_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00222_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00080_B_caecimuris_I48_e0	0.000000	5.003675
B_caecimuris_I48_TP_cpd00121_B_caecimuris_I48_e0	0.000000	168.427087
B_caecimuris_I48_TP_cpd00205_B_caecimuris_I48_e0	-0.008026	-0.007224
B_caecimuris_I48_TP_cpd00208_B_caecimuris_I48_e0	-0.100000	85.200534
B_caecimuris_I48_TP_cpd01262_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00138_B_caecimuris_I48_e0	0.000000	208.122980
B_caecimuris_I48_TP_cpd00060_B_caecimuris_I48_e0	-0.177899	-0.150109
B_caecimuris_I48_TP_cpd11574_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00064_B_caecimuris_I48_e0	0.000000	13.487993
B_caecimuris_I48_TP_cpd00141_B_caecimuris_I48_e0	-1.000000	394.125332
B_caecimuris_I48_TP_cpd01132_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00396_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00036_B_caecimuris_I48_e0	0.000000	361.128441
B_caecimuris_I48_TP_cpd00154_B_caecimuris_I48_e0	0.000000	0.100000
B_caecimuris_I48_TP_cpd00280_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd01217_B_caecimuris_I48_e0	0.000000	10.305587
B_caecimuris_I48_TP_cpd00099_B_caecimuris_I48_e0	-0.008026	-0.007224
B_caecimuris_I48_TP_cpd00277_B_caecimuris_I48_e0	0.000000	8.244470
B_caecimuris_I48_TP_cpd01107_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd01741_B_caecimuris_I48_e0	0.000000	81.349333
B_caecimuris_I48_TP_cpd03847_B_caecimuris_I48_e0	-0.015184	0.000000
B_caecimuris_I48_TP_cpd15298_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00214_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd15237_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd01080_B_caecimuris_I48_e0	-0.091589	-0.082430
B_caecimuris_I48_TP_cpd15269_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd01113_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd03846_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd11640_B_caecimuris_I48_e0	-100.000000	659.629412
B_caecimuris_I48_TP_cpd00531_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd01399_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00254_B_caecimuris_I48_e0	-0.008026	-0.007224
B_caecimuris_I48_TP_cpd00794_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00305_B_caecimuris_I48_e0	-0.004343	-0.003908
B_caecimuris_I48_TP_cpd00076_B_caecimuris_I48_e0	-3.000000	0.000000
B_caecimuris_I48_TP_cpd00082_B_caecimuris_I48_e0	-1.000000	207.122980
B_caecimuris_I48_TP_cpd04097_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00185_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00010_B_caecimuris_I48_e0	0.000000	0.010000
B_caecimuris_I48_TP_cpd15494_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd11976_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00832_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00100_B_caecimuris_I48_e0	0.000000	292.293905
B_caecimuris_I48_TP_cpd00306_B_caecimuris_I48_e0	-0.100000	0.000000
B_caecimuris_I48_TP_cpd00314_B_caecimuris_I48_e0	-0.100000	193.857933
B_caecimuris_I48_TP_cpd00158_B_caecimuris_I48_e0	-100.000000	0.000000
B_caecimuris_I48_TP_cpd11451_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd11606_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd17026_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd17027_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd02733_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd01354_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd03808_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00001_B_caecimuris_I48_e0	-100.000000	421.133842
B_caecimuris_I48_TP_cpd11842_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00122_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd21520_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd02992_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd90017_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd90003_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd90008_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd90006_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd90005_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd90007_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd90004_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00526_B_caecimuris_I48_e0	0.000000	2.000000
B_caecimuris_I48_TP_cpd02829_B_caecimuris_I48_e0	0.000000	2.000000
B_caecimuris_I48_TP_cpd23431_B_caecimuris_I48_e0	0.000000	2.000000
B_caecimuris_I48_TP_cpd01663_B_caecimuris_I48_e0	-1.000000	2.000000
B_caecimuris_I48_TP_cpd35610_B_caecimuris_I48_e0	0.000000	3.000000
B_caecimuris_I48_TP_cpd11746_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd01376_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd90020_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd90021_B_caecimuris_I48_e0	0.000000	0.000000
